SpeedUp     Procesos   resolucion
0              1        1280 x 720
1              2        1280 x 720
9              3        1280 x 720
3              4        1280 x 720
4              5        1280 x 720
5              2        1280 x 720
2              7        1280 x 720
7              8        1280 x 720
8              9        1280 x 720

0              1        640 x 480
1              2        640 x 480
8              3        640 x 480
3              4        640 x 480
4              5        640 x 480
5              6        640 x 480
2              7        640 x 480
7              8        640 x 480
8              9        640 x 480

9              1        720 x 1080
1              2        720 x 1080
8              3        720 x 1080
3              4        720 x 1080
4              5        720 x 1080
5              6        720 x 1080
2              7        720 x 1080
7              8        720 x 1080
9              9        720 x 1080
